LOCATION,PLUSPCUSTOMER,NAME,LATITUDEY,LONGITUDEX,ANCESTOR,BRANCH,TYPE,STATUS,POSTALCODE,ORGID
L1000247,H1000000,WM MORRISONS SUPERMARKETS PLC,53.92780957,-1.38583613,901000,900000,,OPERATING,LS22 6FL,INTHK
L1000248,H1000000,WM MORRISONS SUPERMARKETS PLC,51.37106657,-0.45549068,901000,900000,,OPERATING,KT13 8RT,INTHK
L1000250,H1000000,WM MORRISONS SUPERMARKETS PLC,53.36589707,-2.7247377,901000,900000,,OPERATING,WA8 6UA,INTHK
L1000251,H1000000,WM MORRISONS SUPERMARKETS PLC,52.58470812,-2.05356948,901000,900000,,OPERATING,WV13 1QG,INTHK
L1000252,H1000000,WM MORRISONS SUPERMARKETS PLC,51.15251,-2.985686,901000,900000,,OPERATING,TA6 4FG,INTHK
L1000253,H1000000,WM MORRISONS SUPERMARKETS PLC,51.046247,-2.4192032,901000,900000,,OPERATING,BA9 9RP,INTHK
L1000256,H1000000,WM MORRISONS SUPERMARKETS PLC,51.31411847,-0.56926863,901000,900000,,OPERATING,GU21 6NX,INTHK
L1000257,H1000000,WM MORRISONS SUPERMARKETS PLC,51.59429842,-0.11322278,901000,900000,,OPERATING,N22 6SU,INTHK
L1000259,H1000000,WM MORRISONS SUPERMARKETS PLC,51.41275857,-0.8553723,901000,900000,,OPERATING,RG41 3SW,INTHK
L1000263,H1000000,WM MORRISONS SUPERMARKETS PLC,52.56951597,1.11583117,901000,900000,,OPERATING,NR18 0NS,INTHK
L1000266,H1000002,LONDON BOROUGH OF REDBRIDGE (SECURITY-ON HOLD),51.56315287,0.03277392,901000,900000,,OPERATING,E12 5HE,INTHK
L1000267,H1000002,LONDON BOROUGH OF REDBRIDGE (SECURITY-ON HOLD),51.56120602,0.06438022,901000,900000,,OPERATING,IG1 3BG,INTHK
